00 1c 02 03 04 
00 1c 02 03 05 
00 1c 02 03 07 
00 1c 03 24 0f 
00 1c 03 24 17 
00 1c 03 24 1f 0d 
00 1c 03 25 00 
00 1c 03 25 09 
00 1c 03 25 0e 
00 1c 03 25 0f 
00 1c 03 25 1f 03 
00 1c 03 26 07 03 
00 1c 03 26 0e 
00 1c 03 26 0f 
00 1c 03 26 10 03 
00 1c 03 26 17 
00 1c 04 03 01 
00 1c 04 03 0f 
00 1c 04 03 10 00 
00 1c 04 03 17 
00 1c 04 03 1f 00 
00 1c 04 04 08 
00 1c 04 04 10 00 
00 1c 04 04 17 
00 1c 04 04 19 
00 1c 04 04 1f 
00 1c 04 04 20 00 
00 1c 04 0b 00 08 
00 1c 04 0c 10 02 
00 1c 04 0c 20 02 
00 1c 04 0d 00 02 
00 1c 04 0d 10 02 
00 1c 04 0d 19 
00 1c 04 12 00 03 
00 1c 04 12 17 
00 1c 04 12 19 
00 1c 04 13 00 03 
00 1c 04 13 08 04 
00 1c 04 13 08 
00 1c 04 13 0f 
00 1c 04 13 19 
00 1c 04 13 20 
00 1c 04 14 00 03 
00 1c 04 14 01 
00 1c 04 14 08 
00 1c 04 14 0f 
00 1c 04 14 19 
00 1c 04 15 1f 
00 1c 04 18 00 03 
00 1c 04 18 01 03 
00 1c 04 18 18 03 
00 1c 04 18 20 03 
00 1c 04 18 27 03 
00 1c 04 19 00 0c 
00 1c 04 19 09 
00 1c 04 19 0f 
00 1c 04 19 11 
00 1c 04 19 19 
00 1c 04 19 20 03 
00 1c 04 19 20 
00 1c 04 1a 17 
00 1c 04 1a 27 
00 1c 04 1e 01 
00 1c 04 1e 08 
00 1c 04 1e 17 
00 1c 04 1e 18 
00 1c 04 1e 20 03 
00 1c 04 1e 27 
00 1c 04 1f 00 03 
00 1c 04 1f 08 04 
00 1c 04 1f 10 03 
00 1c 04 1f 20 18 
00 1c 04 24 01 
00 1c 04 24 08 
00 1c 04 24 0f 
00 1c 04 24 17 
00 1c 04 25 00 
00 1c 04 25 01 
00 1c 04 25 09 
00 1c 04 25 0f 
00 1c 04 25 17 
00 1c 04 25 20 
00 1c 04 26 00 03 
00 1c 04 26 19 
00 1c 08 0b 0c 08 
00 1c 08 0b 16 02 
00 1c 08 0b 1f 08 
00 1c 08 0b 1f 
00 1c 08 0b 20 14 
00 1c 08 0b 
00 1c 08 12 03 04 
00 1c 08 12 03 
00 1c 08 12 09 03 
00 1c 08 12 0a 03 
00 1c 08 12 0b 
00 1c 08 12 0c 03 
00 1c 08 12 16 0a 
00 1c 08 12 1f 0a 
00 1c 08 12 20 0a 
00 1c 08 12 
00 1c 08 13 03 04 
00 1c 08 13 04 04 
00 1c 08 13 04 
00 1c 08 13 09 03 
00 1c 08 13 0a 03 
00 1c 08 13 0a 
00 1c 08 13 0b 
00 1c 08 13 0c 03 
00 1c 08 13 0d 03 
00 1c 08 13 16 10 
00 1c 08 13 1f 0a 
00 1c 08 13 
00 1c 08 14 03 0a 
00 1c 08 14 03 
00 1c 08 14 04 
00 1c 08 14 09 03 
00 1c 08 14 0a 03 
00 1c 08 14 0c 03 
00 1c 08 14 19 
00 1c 08 18 03 0b 
00 1c 08 18 0a 03 
00 1c 08 18 0b 0b 
00 1c 08 18 0c 03 
00 1c 08 18 0d 03 
00 1c 08 18 10 13 
00 1c 08 18 11 0b 
00 1c 08 18 16 0b 
00 1c 08 18 18 0b 
00 1c 08 18 20 0b 
00 1c 08 18 
00 1c 08 19 03 
00 1c 08 19 0c 0c 
00 1c 08 19 0d 
00 1c 08 19 10 18 
00 1c 08 19 16 12 
00 1c 08 19 17 1c 
00 1c 08 19 19 
00 1c 08 19 1f 1d 
00 1c 08 19 20 14 
00 1c 08 19 27 12 
00 1c 08 1a 0a 03 
00 1c 08 1a 18 13 
00 1c 08 1e 03 
00 1c 08 1e 04 
00 1c 08 1e 0a 03 
00 1c 08 1e 0c 03 
00 1c 08 1e 0d 
00 1c 08 1e 10 12 
00 1c 08 1e 18 0b 
00 1c 08 1e 1f 18 
00 1c 08 1e 20 0b 
00 1c 08 1e 
00 1c 08 1f 0a 03 
00 1c 08 1f 0b 0b 
00 1c 08 1f 0c 03 
00 1c 08 1f 10 1a 
00 1c 08 1f 16 0b 
00 1c 08 1f 18 0b 
00 1c 08 1f 1f 1b 
00 1c 08 1f 20 0b 
00 1c 08 1f 
00 1c 08 24 04 
00 1c 08 24 0a 03 
00 1c 08 24 0b 
00 1c 08 24 16 
00 1c 08 24 17 12 
00 1c 08 24 17 
00 1c 08 24 1f 12 
00 1c 08 25 04 04 
00 1c 08 25 0a 
00 1c 08 25 0b 
00 1c 08 25 0d 03 
00 1c 08 25 0d 
00 1c 08 25 10 12 
00 1c 08 25 19 19 
00 1c 08 26 0a 03 
00 1c 08 26 0c 03 
00 1c 08 26 10 13 
00 1c 08 26 16 0b 
00 1c 08 26 17 1a 
00 1c 08 26 
00 1c 09 03 0e 00 
00 1c 09 03 0f 00 
00 1c 09 03 10 04 
00 1c 09 03 16 
00 1c 09 03 17 04 
00 1c 09 03 1f 04 
00 1c 09 0c 08 
00 1c 09 0c 0d 02 
00 1c 09 0c 0f 03 
00 1c 09 0c 10 02 
00 1c 09 0c 1f 02 
00 1c 09 0c 20 03 
00 1c 09 0c 
00 1c 09 12 08 03 
00 1c 09 12 0d 03 
00 1c 09 12 0e 
00 1c 09 12 0f 03 
00 1c 09 12 1f 03 
00 1c 09 12 
00 1c 09 13 0d 03 
00 1c 09 13 0f 03 
00 1c 09 13 16 
00 1c 09 13 1f 03 
00 1c 09 13 20 03 
00 1c 09 13 
00 1c 09 14 08 03 
00 1c 09 14 0f 03 
00 1c 09 14 16 15 
00 1c 09 14 20 
00 1c 09 15 0f 03 
00 1c 09 18 03 03 
00 1c 09 18 08 03 
00 1c 09 18 0d 03 
00 1c 09 18 0e 1b 
00 1c 09 18 0f 03 
00 1c 09 18 10 03 
00 1c 09 18 11 0b 
00 1c 09 18 16 0c 
00 1c 09 18 18 1d 
00 1c 09 18 1f 03 
00 1c 09 18 20 1d 
00 1c 09 18 27 1c 
00 1c 09 18 
00 1c 09 19 03 03 
00 1c 09 19 04 
00 1c 09 19 0d 0c 
00 1c 09 19 0e 18 
00 1c 09 19 0f 0c 
00 1c 09 19 10 0c 
00 1c 09 19 11 12 
00 1c 09 19 17 1e 
00 1c 09 19 18 03 
00 1c 09 19 1f 0c 
00 1c 09 19 27 1c 
00 1c 09 19 
00 1c 09 1a 03 
00 1c 09 1a 08 03 
00 1c 09 1a 0f 03 
00 1c 09 1a 10 03 
00 1c 09 1a 1f 03 
00 1c 09 1e 08 03 
00 1c 09 1e 0d 03 
00 1c 09 1e 0e 19 
00 1c 09 1e 10 03 
00 1c 09 1e 19 03 
00 1c 09 1e 1f 03 
00 1c 09 1e 
00 1c 09 1f 03 19 
00 1c 09 1f 08 03 
00 1c 09 1f 0d 03 
00 1c 09 1f 0f 03 
00 1c 09 1f 10 19 
00 1c 09 1f 11 19 
00 1c 09 1f 16 1c 
00 1c 09 1f 18 19 
00 1c 09 1f 1f 1b 
00 1c 09 1f 20 0b 
00 1c 09 24 0f 03 
00 1c 09 24 10 03 
00 1c 09 24 16 
00 1c 09 24 1f 03 
00 1c 09 25 02 
00 1c 09 25 03 
00 1c 09 25 04 03 
00 1c 09 25 04 
00 1c 09 25 0c 20 
00 1c 09 25 0f 03 
00 1c 09 25 10 03 
00 1c 09 25 19 
00 1c 09 25 1f 
00 1c 09 25 20 03 
00 1c 09 25 
00 1c 09 26 08 03 
00 1c 09 26 08 
00 1c 09 26 0d 03 
00 1c 09 26 0e 18 
00 1c 09 26 0f 03 
00 1c 09 26 10 03 
00 1c 09 26 16 
00 1c 09 26 1f 03 
00 1c 09 26 
00 1c 0e 03 02 00 
00 1c 0e 03 03 
00 1c 0e 03 04 
00 1c 0e 03 08 00 
00 1c 0e 03 09 
00 1c 0e 03 10 00 
00 1c 0e 03 19 00 
00 1c 0e 03 
00 1c 0e 0b 0a 08 
00 1c 0e 0b 16 08 
00 1c 0e 0b 1f 
00 1c 0e 0c 01 
00 1c 0e 0c 10 02 
00 1c 0e 0c 1f 02 
00 1c 0e 12 03 
00 1c 0e 12 09 03 
00 1c 0e 12 0a 03 
00 1c 0e 12 10 03 
00 1c 0e 12 16 03 
00 1c 0e 12 19 03 
00 1c 0e 12 20 03 
00 1c 0e 13 02 04 
00 1c 0e 13 03 04 
00 1c 0e 13 03 
00 1c 0e 13 04 
00 1c 0e 13 08 03 
00 1c 0e 13 0a 03 
00 1c 0e 13 10 10 
00 1c 0e 13 19 03 
00 1c 0e 13 20 
00 1c 0e 14 02 
00 1c 0e 14 03 
00 1c 0e 14 04 
00 1c 0e 14 09 03 
00 1c 0e 14 09 
00 1c 0e 14 0a 03 
00 1c 0e 14 16 03 
00 1c 0e 14 19 03 
00 1c 0e 14 20 03 
00 1c 0e 15 16 
00 1c 0e 15 19 03 
00 1c 0e 18 02 03 
00 1c 0e 18 08 03 
00 1c 0e 18 09 03 
00 1c 0e 18 0a 03 
00 1c 0e 18 10 03 
00 1c 0e 18 11 0b 
00 1c 0e 18 16 03 
00 1c 0e 18 19 03 
00 1c 0e 18 1f 03 
00 1c 0e 18 20 03 
00 1c 0e 18 27 03 
00 1c 0e 19 02 03 
00 1c 0e 19 03 03 
00 1c 0e 19 03 
00 1c 0e 19 04 
00 1c 0e 19 08 
00 1c 0e 19 0a 0c 
00 1c 0e 19 10 0c 
00 1c 0e 19 11 
00 1c 0e 19 16 0c 
00 1c 0e 19 18 03 
00 1c 0e 19 19 03 
00 1c 0e 19 19 
00 1c 0e 19 1f 0b 
00 1c 0e 19 
00 1c 0e 1a 10 03 
00 1c 0e 1a 18 03 
00 1c 0e 1a 1f 03 
00 1c 0e 1e 02 03 
00 1c 0e 1e 02 
00 1c 0e 1e 03 
00 1c 0e 1e 04 
00 1c 0e 1e 09 
00 1c 0e 1e 0a 03 
00 1c 0e 1e 16 03 
00 1c 0e 1e 19 03 
00 1c 0e 1e 20 03 
00 1c 0e 1f 02 18 
00 1c 0e 1f 09 19 
00 1c 0e 1f 0a 03 
00 1c 0e 1f 10 03 
00 1c 0e 1f 11 0b 
00 1c 0e 1f 16 03 
00 1c 0e 1f 17 0b 
00 1c 0e 1f 18 03 
00 1c 0e 1f 19 03 
00 1c 0e 1f 1f 03 
00 1c 0e 1f 20 19 
00 1c 0e 1f 27 03 
00 1c 0e 1f 
00 1c 0e 24 02 
00 1c 0e 24 03 
00 1c 0e 24 04 
00 1c 0e 24 09 
00 1c 0e 24 10 03 
00 1c 0e 24 17 
00 1c 0e 24 1f 03 
00 1c 0e 25 02 
00 1c 0e 25 03 
00 1c 0e 25 09 03 
00 1c 0e 25 10 03 
00 1c 0e 25 16 
00 1c 0e 25 19 03 
00 1c 0e 25 1f 03 
00 1c 0e 26 03 
00 1c 0e 26 09 03 
00 1c 0e 26 0a 03 
00 1c 0e 26 10 03 
00 1c 0e 26 16 03 
00 1c 0e 26 19 03 
00 1c 0f 03 02 00 
00 1c 0f 03 03 
00 1c 0f 03 04 
00 1c 0f 03 08 00 
00 1c 0f 03 0c 00 
00 1c 0f 03 10 04 
00 1c 0f 03 17 04 
00 1c 0f 03 19 00 
00 1c 0f 03 1f 00 
00 1c 0f 03 
00 1c 0f 0b 01 08 
00 1c 0f 0b 02 02 
00 1c 0f 0b 03 02 
00 1c 0f 0b 0b 08 
00 1c 0f 0b 10 0d 
00 1c 0f 0b 17 0c 
00 1c 0f 0b 1f 02 
00 1c 0f 0b 1f 
00 1c 0f 0b 20 02 
00 1c 0f 0c 01 03 
00 1c 0f 0c 02 02 
00 1c 0f 0c 09 
00 1c 0f 0c 0a 02 
00 1c 0f 0c 10 02 
00 1c 0f 0c 17 24 
00 1c 0f 0c 1f 02 
00 1c 0f 0c 20 03 
00 1c 0f 12 03 
00 1c 0f 12 09 03 
00 1c 0f 12 0a 03 
00 1c 0f 12 0b 03 
00 1c 0f 12 0c 03 
00 1c 0f 12 10 03 
00 1c 0f 12 16 03 
00 1c 0f 12 17 1e 
00 1c 0f 12 19 03 
00 1c 0f 12 1f 03 
00 1c 0f 12 20 19 
00 1c 0f 13 03 
00 1c 0f 13 04 
00 1c 0f 13 08 03 
00 1c 0f 13 09 03 
00 1c 0f 13 09 
00 1c 0f 13 0a 03 
00 1c 0f 13 0b 03 
00 1c 0f 13 0c 10 
00 1c 0f 13 17 14 
00 1c 0f 13 19 0a 
00 1c 0f 13 1f 03 
00 1c 0f 13 
00 1c 0f 14 02 
00 1c 0f 14 03 
00 1c 0f 14 09 03 
00 1c 0f 14 0b 03 
00 1c 0f 14 0c 03 
00 1c 0f 14 16 03 
00 1c 0f 14 19 03 
00 1c 0f 14 20 11 
00 1c 0f 15 19 03 
00 1c 0f 18 02 03 
00 1c 0f 18 04 03 
00 1c 0f 18 08 03 
00 1c 0f 18 09 03 
00 1c 0f 18 0b 03 
00 1c 0f 18 0c 03 
00 1c 0f 18 10 03 
00 1c 0f 18 11 0b 
00 1c 0f 18 16 03 
00 1c 0f 18 17 1b 
00 1c 0f 18 18 1b 
00 1c 0f 18 19 03 
00 1c 0f 18 1f 03 
00 1c 0f 18 20 03 
00 1c 0f 18 27 03 
00 1c 0f 18 
00 1c 0f 19 08 
00 1c 0f 19 0b 0c 
00 1c 0f 19 0c 
00 1c 0f 19 10 0c 
00 1c 0f 19 17 18 
00 1c 0f 19 19 03 
00 1c 0f 19 1f 0b 
00 1c 0f 19 
00 1c 0f 1a 02 03 
00 1c 0f 1a 03 03 
00 1c 0f 1a 09 03 
00 1c 0f 1a 10 03 
00 1c 0f 1a 17 18 
00 1c 0f 1a 18 03 
00 1c 0f 1a 1f 03 
00 1c 0f 1e 02 03 
00 1c 0f 1e 10 03 
00 1c 0f 1e 19 03 
00 1c 0f 1e 1f 03 
00 1c 0f 1e 20 03 
00 1c 0f 1e 27 03 
00 1c 0f 1f 02 18 
00 1c 0f 1f 09 03 
00 1c 0f 1f 0b 03 
00 1c 0f 1f 10 03 
00 1c 0f 1f 16 03 
00 1c 0f 1f 17 24 
00 1c 0f 1f 18 03 
00 1c 0f 1f 19 03 
00 1c 0f 1f 1f 03 
00 1c 0f 1f 20 19 
00 1c 0f 1f 
00 1c 0f 24 02 03 
00 1c 0f 24 03 03 
00 1c 0f 24 03 
00 1c 0f 24 04 
00 1c 0f 24 09 03 
00 1c 0f 24 10 03 
00 1c 0f 24 16 
00 1c 0f 24 17 
00 1c 0f 24 1f 03 
00 1c 0f 25 02 
00 1c 0f 25 03 
00 1c 0f 25 04 04 
00 1c 0f 25 09 
00 1c 0f 25 10 03 
00 1c 0f 25 19 03 
00 1c 0f 25 1f 03 
00 1c 0f 26 03 
00 1c 0f 26 09 03 
00 1c 0f 26 0b 03 
00 1c 0f 26 0c 03 
00 1c 0f 26 10 03 
00 1c 0f 26 16 03 
00 1c 0f 26 17 0c 
00 1c 0f 26 19 03 
00 1c 0f 26 1f 03 
00 1c 0f 26 20 03 
00 1c 10 03 02 04 
00 1c 10 03 03 0d 
00 1c 10 03 04 00 
00 1c 10 03 08 00 
00 1c 10 03 08 
00 1c 10 03 09 04 
00 1c 10 03 0a 00 
00 1c 10 03 0e 00 
00 1c 10 03 0f 04 
00 1c 10 03 11 1a 
00 1c 10 03 1e 1e 
00 1c 10 0c 01 03 
00 1c 10 0c 03 0a 
00 1c 10 0c 04 02 
00 1c 10 0c 09 02 
00 1c 10 0c 0a 02 
00 1c 10 0c 0e 02 
00 1c 10 0c 0f 02 
00 1c 10 0c 11 18 
00 1c 10 0c 12 02 
00 1c 10 0c 16 08 
00 1c 10 12 02 04 
00 1c 10 12 02 
00 1c 10 12 03 03 
00 1c 10 12 03 
00 1c 10 12 08 0a 
00 1c 10 12 09 03 
00 1c 10 12 0a 03 
00 1c 10 12 0e 03 
00 1c 10 12 0f 03 
00 1c 10 12 10 03 
00 1c 10 12 12 0a 
00 1c 10 12 14 03 
00 1c 10 12 15 15 
00 1c 10 13 02 04 
00 1c 10 13 03 0a 
00 1c 10 13 04 0c 
00 1c 10 13 08 0a 
00 1c 10 13 09 03 
00 1c 10 13 0a 03 
00 1c 10 13 0e 10 
00 1c 10 13 0f 03 
00 1c 10 13 11 19 
00 1c 10 13 12 03 
00 1c 10 13 14 03 
00 1c 10 15 08 0a 
00 1c 10 15 09 03 
00 1c 10 15 0a 03 
00 1c 10 15 0e 03 
00 1c 10 15 0f 03 
00 1c 10 15 10 03 
00 1c 10 15 11 19 
00 1c 10 15 12 
00 1c 10 15 16 
00 1c 10 15 20 26 
00 1c 10 18 02 0d 
00 1c 10 18 03 0d 
00 1c 10 18 08 13 
00 1c 10 18 09 03 
00 1c 10 18 0a 03 
00 1c 10 18 0e 03 
00 1c 10 18 0f 03 
00 1c 10 18 12 0c 
00 1c 10 18 14 03 
00 1c 10 19 03 0d 
00 1c 10 19 08 18 
00 1c 10 19 09 0c 
00 1c 10 19 0a 0c 
00 1c 10 19 0e 0c 
00 1c 10 19 0f 0c 
00 1c 10 19 11 0c 
00 1c 10 19 12 13 
00 1c 10 19 14 0c 
00 1c 10 1a 09 03 
00 1c 10 1a 0a 03 
00 1c 10 1a 0e 03 
00 1c 10 1a 0f 03 
00 1c 10 1a 11 03 
00 1c 10 1a 12 12 
00 1c 10 1a 16 1f 
00 1c 10 1a 18 1e 
00 1c 10 1a 27 0c 
00 1c 10 1d 02 0d 
00 1c 10 1d 03 0d 
00 1c 10 1d 08 12 
00 1c 10 1d 09 18 
00 1c 10 1d 0e 03 
00 1c 10 1d 0f 03 
00 1c 10 1d 11 03 
00 1c 10 1d 12 0c 
00 1c 10 1d 14 
00 1c 10 1e 02 0d 
00 1c 10 1e 03 0d 
00 1c 10 1e 08 12 
00 1c 10 1e 09 03 
00 1c 10 1e 11 03 
00 1c 10 1e 12 03 
00 1c 10 1e 14 03 
00 1c 10 1e 18 03 
00 1c 10 1e 1e 03 
00 1c 10 1e 27 03 
00 1c 10 1e 
00 1c 10 1f 02 18 
00 1c 10 1f 03 18 
00 1c 10 1f 08 1a 
00 1c 10 1f 09 19 
00 1c 10 1f 0a 03 
00 1c 10 1f 0e 03 
00 1c 10 1f 0f 03 
00 1c 10 1f 11 03 
00 1c 10 1f 12 12 
00 1c 10 1f 14 03 
00 1c 10 24 02 04 
00 1c 10 24 09 03 
00 1c 10 24 0a 03 
00 1c 10 24 0e 03 
00 1c 10 24 0f 03 
00 1c 10 24 11 18 
00 1c 10 24 16 27 
00 1c 10 24 1e 1e 
00 1c 10 25 08 12 
00 1c 10 25 09 03 
00 1c 10 25 0a 03 
00 1c 10 25 0e 03 
00 1c 10 25 0f 03 
00 1c 10 25 11 19 
00 1c 10 25 12 15 
00 1c 10 25 12 
00 1c 10 25 16 1a 
00 1c 10 25 16 
00 1c 10 25 20 20 
00 1c 10 26 02 04 
00 1c 10 26 03 03 
00 1c 10 26 08 13 
00 1c 10 26 09 03 
00 1c 10 26 0a 03 
00 1c 10 26 0e 03 
00 1c 10 26 0f 03 
00 1c 10 26 12 0c 
00 1c 10 26 14 03 
00 1c 10 26 20 1e 
00 1c 17 03 03 
00 1c 17 03 04 
00 1c 17 03 08 04 
00 1c 17 03 09 04 
00 1c 17 03 0f 04 
00 1c 17 03 10 00 
00 1c 17 03 19 00 
00 1c 17 0b 08 08 
00 1c 17 0b 0f 0c 
00 1c 17 0b 10 08 
00 1c 17 0b 12 08 
00 1c 17 0b 13 08 
00 1c 17 0b 14 08 
00 1c 17 0b 19 08 
00 1c 17 0b 1e 08 
00 1c 17 0c 09 02 
00 1c 17 0c 09 
00 1c 17 0c 0a 
00 1c 17 0c 0f 24 
00 1c 17 0c 11 18 
00 1c 17 0c 12 02 
00 1c 17 0c 19 02 
00 1c 17 0c 1e 
00 1c 17 12 04 
00 1c 17 12 0f 1e 
00 1c 17 12 11 18 
00 1c 17 12 13 03 
00 1c 17 12 14 03 
00 1c 17 12 19 0a 
00 1c 17 12 1e 
00 1c 17 12 
00 1c 17 13 0f 14 
00 1c 17 13 10 03 
00 1c 17 13 11 1e 
00 1c 17 13 12 10 
00 1c 17 13 13 03 
00 1c 17 13 19 10 
00 1c 17 13 1f 1e 
00 1c 17 14 0e 0a 
00 1c 17 14 0f 1e 
00 1c 17 14 11 18 
00 1c 17 14 13 03 
00 1c 17 14 14 03 
00 1c 17 14 19 0a 
00 1c 17 14 1f 1e 
00 1c 17 14 
00 1c 17 15 11 18 
00 1c 17 15 14 
00 1c 17 15 19 0a 
00 1c 17 15 19 
00 1c 17 15 1e 
00 1c 17 15 20 
00 1c 17 18 02 03 
00 1c 17 18 0a 0b 
00 1c 17 18 0f 1b 
00 1c 17 18 10 03 
00 1c 17 18 12 0c 
00 1c 17 18 13 03 
00 1c 17 18 14 03 
00 1c 17 18 19 0c 
00 1c 17 18 1e 1d 
00 1c 17 18 1f 25 
00 1c 17 18 27 0c 
00 1c 17 18 
00 1c 17 19 02 03 
00 1c 17 19 08 1c 
00 1c 17 19 09 1e 
00 1c 17 19 0a 1c 
00 1c 17 19 0f 18 
00 1c 17 19 10 12 
00 1c 17 19 13 0c 
00 1c 17 19 14 0c 
00 1c 17 19 18 18 
00 1c 17 19 19 18 
00 1c 17 19 1e 1c 
00 1c 17 19 1f 1e 
00 1c 17 19 27 18 
00 1c 17 1a 0f 18 
00 1c 17 1a 10 0c 
00 1c 17 1a 11 1e 
00 1c 17 1a 18 0c 
00 1c 17 1d 04 03 
00 1c 17 1d 08 0b 
00 1c 17 1d 0f 1f 
00 1c 17 1d 10 03 
00 1c 17 1d 12 0c 
00 1c 17 1d 14 03 
00 1c 17 1d 18 0c 
00 1c 17 1d 19 0c 
00 1c 17 1d 1f 25 
00 1c 17 1d 27 0c 
00 1c 17 1d 
00 1c 17 1e 02 03 
00 1c 17 1e 03 
00 1c 17 1e 04 
00 1c 17 1e 0a 
00 1c 17 1e 10 03 
00 1c 17 1e 11 03 
00 1c 17 1e 12 0c 
00 1c 17 1e 13 03 
00 1c 17 1e 18 0c 
00 1c 17 1e 19 0c 
00 1c 17 1e 1e 1a 
00 1c 17 1e 27 0c 
00 1c 17 1e 
00 1c 17 1f 02 18 
00 1c 17 1f 0e 0b 
00 1c 17 1f 0f 24 
00 1c 17 1f 12 0c 
00 1c 17 1f 13 03 
00 1c 17 1f 14 03 
00 1c 17 1f 18 14 
00 1c 17 1f 19 12 
00 1c 17 1f 27 0b 
00 1c 17 1f 
00 1c 17 24 02 
00 1c 17 24 04 
00 1c 17 24 08 12 
00 1c 17 24 08 
00 1c 17 24 0a 
00 1c 17 24 0e 
00 1c 17 24 0f 
00 1c 17 26 03 
00 1c 17 26 08 1a 
00 1c 17 26 0f 0c 
00 1c 17 26 11 0c 
00 1c 17 26 13 03 
00 1c 17 26 14 03 
00 1c 17 26 19 0c 
00 1c 17 26 1e 0c 
00 1c 17 26 20 0c 
