00 1c 02 04 1f 
00 1c 0f 25 10 
00 1c 0f 25 1f 
00 1c 10 03 09 
00 1c 10 03 0f 
00 1c 10 03 11 
00 1c 10 03 1e 
00 1c 10 0c 03 
00 1c 10 0c 09 
00 1c 10 0c 0f 
00 1c 10 0c 12 
00 1c 10 0c 16 
00 1c 10 12 09 
00 1c 10 12 12 
00 1c 10 12 15 
00 1c 10 13 03 
00 1c 10 13 09 
00 1c 10 13 11 
00 1c 10 15 09 
00 1c 10 15 0f 
00 1c 10 15 11 
00 1c 10 15 20 
00 1c 10 18 03 
00 1c 10 18 09 
00 1c 10 18 0f 
00 1c 10 18 12 
00 1c 10 19 03 
00 1c 10 19 09 
00 1c 10 19 0f 
00 1c 10 19 11 
00 1c 10 19 12 
00 1c 10 1a 09 
00 1c 10 1a 0f 
00 1c 10 1a 12 
00 1c 10 1a 16 
00 1c 10 1a 18 
00 1c 10 1a 27 
00 1c 10 1d 03 
00 1c 10 1d 08 
00 1c 10 1d 09 
00 1c 10 1d 0f 
00 1c 10 1d 11 
00 1c 10 1d 12 
00 1c 10 1e 03 
00 1c 10 1e 09 
00 1c 10 1e 12 
00 1c 10 1e 27 
00 1c 10 1f 02 
00 1c 10 1f 03 
00 1c 10 1f 08 
00 1c 10 1f 09 
00 1c 10 1f 0a 
00 1c 10 1f 0e 
00 1c 10 1f 0f 
00 1c 10 1f 11 
00 1c 10 1f 12 
00 1c 10 24 09 
00 1c 10 24 16 
00 1c 10 25 08 
00 1c 10 25 09 
00 1c 10 25 0a 
00 1c 10 25 0e 
00 1c 10 25 0f 
00 1c 10 25 11 
00 1c 10 25 20 
00 1c 10 26 09 
00 1c 10 26 20 
00 1c 10 
00 1c 17 03 0f 
00 1c 17 0c 11 
00 1c 17 12 11 
00 1c 17 13 11 
00 1c 17 13 1f 
00 1c 17 14 11 
00 1c 17 14 1f 
00 1c 17 15 11 
00 1c 17 18 12 
00 1c 17 18 19 
00 1c 17 18 1e 
00 1c 17 18 1f 
00 1c 17 19 08 
00 1c 17 19 09 
00 1c 17 19 0f 
00 1c 17 19 10 
00 1c 17 19 1f 
00 1c 17 19 27 
00 1c 17 1a 11 
00 1c 17 1d 12 
00 1c 17 1d 1f 
00 1c 17 1f 12 
00 1c 17 1f 27 
00 1c 17 26 08 
00 1c 19 03 08 
00 1c 19 03 0f 
00 1c 19 0b 10 
00 1c 19 0c 09 
00 1c 19 12 10 
00 1c 19 13 03 
00 1c 19 13 10 
00 1c 19 15 10 
00 1c 19 18 0e 
00 1c 19 18 0f 
00 1c 19 18 17 
00 1c 19 18 1e 
00 1c 19 18 27 
00 1c 19 19 0f 
00 1c 19 1c 0e 
00 1c 19 1c 1e 
00 1c 19 1c 27 
00 1c 19 1f 0e 
00 1c 19 1f 0f 
00 1c 19 1f 27 
00 1c 19 25 08 
00 1c 19 25 1f 
00 1c 19 25 26 
00 1c 1f 03 19 
00 1c 1f 0b 10 
00 1c 1f 0c 09 
00 1c 1f 12 12 
00 1c 1f 12 26 
00 1c 1f 13 02 
00 1c 1f 13 10 
00 1c 1f 13 17 
00 1c 1f 14 0f 
00 1c 1f 14 12 
00 1c 1f 14 26 
00 1c 1f 18 02 
00 1c 1f 18 04 
00 1c 1f 18 09 
00 1c 1f 18 0f 
00 1c 1f 18 11 
00 1c 1f 18 17 
00 1c 1f 19 08 
00 1c 1f 19 09 
00 1c 1f 19 0f 
00 1c 1f 19 17 
00 1c 1f 1a 0f 
00 1c 1f 1a 11 
00 1c 1f 1c 11 
00 1c 1f 1c 17 
00 1c 1f 1e 08 
00 1c 1f 1e 20 
00 1c 1f 1f 03 
00 1c 1f 1f 08 
00 1c 1f 1f 09 
00 1c 1f 1f 0e 
00 1c 1f 1f 0f 
00 1c 1f 24 26 
00 1c 1f 25 0f 
00 1c 1f 25 20 
00 1c 1f 26 26 
00 1c 1f 
00 1c 20 03 0e 
00 1c 20 03 0f 
00 1c 20 03 19 
00 1c 20 03 1f 
00 1c 20 03 27 
00 1c 20 0b 10 
00 1c 20 0c 02 
00 1c 20 0c 0f 
00 1c 20 0c 19 
00 1c 20 0c 26 
00 1c 20 12 0f 
00 1c 20 12 10 
00 1c 20 12 19 
00 1c 20 13 0f 
00 1c 20 13 10 
00 1c 20 13 1f 
00 1c 20 13 27 
00 1c 20 14 0f 
00 1c 20 14 17 
00 1c 20 15 10 
00 1c 20 18 03 
00 1c 20 18 0f 
00 1c 20 18 19 
00 1c 20 18 25 
00 1c 20 19 02 
00 1c 20 19 09 
00 1c 20 19 0e 
00 1c 20 19 0f 
00 1c 20 19 11 
00 1c 20 19 18 
00 1c 20 19 19 
00 1c 20 19 1a 
00 1c 20 19 27 
00 1c 20 1a 0f 
00 1c 20 1a 11 
00 1c 20 1a 26 
00 1c 20 1b 08 
00 1c 20 1b 0f 
00 1c 20 1b 19 
00 1c 20 1b 25 
00 1c 20 1e 02 
00 1c 20 1e 03 
00 1c 20 1e 08 
00 1c 20 1e 1f 
00 1c 20 1f 03 
00 1c 20 1f 08 
00 1c 20 1f 0e 
00 1c 20 1f 0f 
00 1c 20 1f 19 
00 1c 20 1f 25 
00 1c 20 25 0f 
00 1c 20 25 10 
00 1c 20 25 19 
00 1c 20 25 26 
00 1c 20 25 27 
00 1c 20 26 0f 
00 1c 20 26 19 
00 1b 02 03 10 
00 1b 02 04 10 
00 1b 02 0b 11 
00 1b 02 0b 17 
00 1b 02 0d 10 
00 1b 02 0d 11 
00 1b 02 15 17 
00 1b 02 1c 10 
00 1b 02 1c 17 
00 1b 02 1c 27 
00 1b 02 1d 20 
00 1b 03 04 08 
00 1b 03 0b 10 
00 1b 03 13 08 
00 1b 03 15 27 
00 1b 03 1c 10 
00 1b 03 1d 10 
00 1b 03 1f 10 
00 1b 03 1f 27 
00 1b 04 04 
00 1b 04 0c 
00 1b 08 0b 11 
00 1b 08 12 11 
00 1b 08 12 20 
00 1b 08 13 03 
00 1b 08 13 17 
00 1b 08 13 20 
00 1b 08 1d 1f 
00 1b 08 1d 20 
00 1b 08 1e 10 
00 1b 08 1e 11 
00 1b 08 1f 0a 
00 1b 08 1f 11 
00 1b 08 25 19 
00 1b 08 26 11 
00 1b 09 03 10 
00 1b 09 0b 0e 
00 1b 09 0b 10 
00 1b 09 0b 20 
00 1b 09 0b 27 
00 1b 09 0c 10 
00 1b 09 0c 1f 
00 1b 09 12 16 
00 1b 09 12 18 
00 1b 09 12 1f 
00 1b 09 12 20 
00 1b 09 13 10 
00 1b 09 13 1f 
00 1b 09 14 16 
00 1b 09 14 27 
00 1b 09 15 08 
00 1b 09 15 10 
00 1b 09 15 16 
00 1b 09 15 17 
00 1b 09 15 1f 
00 1b 09 1c 0e 
00 1b 09 1c 10 
00 1b 09 1c 1f 
00 1b 09 1c 20 
00 1b 09 1d 0e 
00 1b 09 1d 10 
00 1b 09 1e 0e 
00 1b 09 1e 10 
00 1b 09 1e 1f 
00 1b 09 1f 08 
00 1b 09 1f 0e 
00 1b 09 1f 10 
00 1b 09 1f 16 
00 1b 09 1f 18 
00 1b 09 1f 1f 
00 1b 09 1f 20 
00 1b 09 1f 27 
00 1b 09 25 10 
00 1b 09 26 10 
00 1b 09 26 16 
00 1b 09 26 17 
00 1b 09 26 18 
00 1b 09 26 19 
00 1b 09 26 1f 
00 1b 09 26 20 
00 1b 0e 0c 19 
00 1b 0e 0c 20 
00 1b 0e 12 19 
00 1b 0e 15 09 
00 1b 0e 15 19 
00 1b 0e 15 1f 
00 1b 0e 1e 09 
00 1b 0e 1e 19 
00 1b 0e 1f 09 
00 1b 0e 1f 19 
00 1b 0e 26 19 
00 1b 0f 03 09 
00 1b 0f 0b 09 
00 1b 0f 0c 10 
00 1b 0f 0c 1f 
00 1b 0f 12 09 
00 1b 0f 12 18 
00 1b 0f 12 27 
00 1b 0f 13 09 
00 1b 0f 13 27 
00 1b 0f 15 09 
00 1b 0f 15 17 
00 1b 0f 15 19 
00 1b 0f 15 1f 
00 1b 0f 15 20 
00 1b 0f 15 27 
00 1b 0f 1c 10 
00 1b 0f 1c 1f 
00 1b 0f 1d 20 
00 1b 0f 1e 10 
00 1b 0f 1e 19 
00 1b 0f 1e 1f 
00 1b 0f 1e 20 
00 1b 0f 1f 09 
00 1b 0f 1f 10 
00 1b 0f 1f 18 
00 1b 0f 1f 19 
00 1b 0f 1f 1f 
00 1b 0f 1f 20 
00 1b 0f 25 04 
00 1b 0f 25 09 
00 1b 0f 25 10 
00 1b 0f 26 09 
00 1b 0f 26 27 
00 1b 10 03 09 
00 1b 10 0c 19 
00 1b 10 0c 1f 
00 1b 10 12 09 
00 1b 10 12 0f 
00 1b 10 12 12 
00 1b 10 12 18 
00 1b 10 12 20 
00 1b 10 12 27 
00 1b 10 13 09 
00 1b 10 13 27 
00 1b 10 15 02 
00 1b 10 15 08 
00 1b 10 15 09 
00 1b 10 15 0e 
00 1b 10 15 0f 
00 1b 10 15 12 
00 1b 10 1c 09 
00 1b 10 1c 0f 
00 1b 10 1c 12 
00 1b 10 1c 16 
00 1b 10 1c 18 
00 1b 10 1c 27 
00 1b 10 1d 03 
00 1b 10 1d 09 
00 1b 10 1d 12 
00 1b 10 1d 27 
00 1b 10 1e 09 
00 1b 10 1e 0f 
00 1b 10 1e 11 
00 1b 10 1f 03 
00 1b 10 1f 09 
00 1b 10 1f 0f 
00 1b 10 1f 12 
00 1b 10 25 02 
00 1b 10 25 09 
00 1b 10 25 0f 
00 1b 10 25 16 
00 1b 10 26 09 
00 1b 10 26 12 
00 1b 10 26 18 
00 1b 10 26 20 
00 1b 10 26 27 
00 1b 10 
00 1b 11 03 08 
00 1b 11 03 1f 
00 1b 11 03 27 
00 1b 11 0b 02 
00 1b 11 0b 1f 
00 1b 11 0b 27 
00 1b 11 12 08 
00 1b 11 12 10 
00 1b 11 12 27 
00 1b 11 13 18 
00 1b 11 14 08 
00 1b 11 14 10 
00 1b 11 14 27 
00 1b 11 15 18 
00 1b 11 1c 08 
00 1b 11 1c 27 
00 1b 11 1d 10 
00 1b 11 1d 27 
00 1b 11 1e 10 
00 1b 11 1e 18 
00 1b 11 1e 27 
00 1b 11 1f 08 
00 1b 11 1f 10 
00 1b 11 1f 1f 
00 1b 11 1f 27 
00 1b 11 25 17 
00 1b 11 26 08 
00 1b 11 26 10 
00 1b 11 26 27 
00 1b 11 
00 1b 17 0b 02 
00 1b 17 0b 10 
00 1b 17 0b 11 
00 1b 17 0b 12 
00 1b 17 12 11 
00 1b 17 12 12 
00 1b 17 12 19 
00 1b 17 13 02 
00 1b 17 13 08 
00 1b 17 13 0a 
00 1b 17 13 12 
00 1b 17 13 19 
00 1b 17 13 1e 
00 1b 17 13 1f 
00 1b 17 14 11 
00 1b 17 15 02 
00 1b 17 15 09 
00 1b 17 15 0f 
00 1b 17 15 11 
00 1b 17 15 12 
00 1b 17 15 19 
00 1b 17 15 1f 
00 1b 17 1c 11 
00 1b 17 1e 11 
00 1b 17 1e 12 
00 1b 17 1e 19 
00 1b 17 1e 1f 
00 1b 17 1f 12 
00 1b 17 1f 19 
00 1b 17 1f 1e 
00 1b 17 1f 1f 
00 1b 17 25 09 
00 1b 17 26 09 
00 1b 17 26 12 
00 1b 17 26 19 
00 1b 18 13 11 
00 1b 18 13 1d 
00 1b 18 15 11 
00 1b 18 1c 10 
00 1b 18 1c 1d 
00 1b 18 1e 11 
00 1b 18 1e 12 
00 1b 18 1e 1b 
00 1b 18 1e 26 
00 1b 18 1e 27 
00 1b 19 0b 08 
00 1b 19 0b 27 
00 1b 19 0c 09 
00 1b 19 0c 10 
00 1b 19 12 0e 
00 1b 19 12 10 
00 1b 19 12 17 
00 1b 19 12 18 
00 1b 19 12 1e 
00 1b 19 13 10 
00 1b 19 13 17 
00 1b 19 13 27 
00 1b 19 15 03 
00 1b 19 15 0e 
00 1b 19 15 0f 
00 1b 19 15 10 
00 1b 19 15 17 
00 1b 19 15 18 
00 1b 19 15 27 
00 1b 19 1c 0f 
00 1b 19 1e 0e 
00 1b 19 1e 0f 
00 1b 19 1e 17 
00 1b 19 1e 18 
00 1b 19 1e 1e 
00 1b 19 1e 27 
00 1b 19 1f 0e 
00 1b 19 1f 0f 
00 1b 19 1f 17 
00 1b 19 1f 1e 
00 1b 19 1f 27 
00 1b 19 25 08 
00 1b 19 26 09 
00 1b 19 26 0e 
00 1b 19 26 17 
00 1b 19 26 18 
00 1b 19 
00 1b 1f 0b 11 
00 1b 1f 0b 12 
00 1b 1f 0c 10 
00 1b 1f 12 09 
00 1b 1f 12 27 
00 1b 1f 13 09 
00 1b 1f 13 10 
00 1b 1f 13 17 
00 1b 1f 15 09 
00 1b 1f 15 0e 
00 1b 1f 15 0f 
00 1b 1f 15 17 
00 1b 1f 15 20 
00 1b 1f 1c 0f 
00 1b 1f 1c 11 
00 1b 1f 1d 08 
00 1b 1f 1d 20 
00 1b 1f 1e 03 
00 1b 1f 1e 04 
00 1b 1f 1e 09 
00 1b 1f 1e 0f 
00 1b 1f 1e 17 
00 1b 1f 1e 18 
00 1b 1f 1f 02 
00 1b 1f 1f 04 
00 1b 1f 1f 09 
00 1b 1f 1f 0f 
00 1b 1f 1f 11 
00 1b 1f 1f 17 
00 1b 1f 26 04 
00 1b 1f 26 09 
00 1b 1f 26 27 
00 1b 1f 
00 1b 20 12 08 
00 1b 20 12 10 
00 1b 20 12 11 
00 1b 20 12 18 
00 1b 20 12 1a 
00 1b 20 13 02 
00 1b 20 13 0f 
00 1b 20 13 10 
00 1b 20 13 11 
00 1b 20 13 1a 
00 1b 20 15 08 
00 1b 20 15 0f 
00 1b 20 15 10 
00 1b 20 15 1a 
00 1b 20 15 1f 
00 1b 20 1d 10 
00 1b 20 1d 11 
00 1b 20 1d 19 
00 1b 20 1d 20 
00 1b 20 1e 03 
00 1b 20 1e 0e 
00 1b 20 1e 0f 
00 1b 20 1e 17 
00 1b 20 1e 20 
00 1b 20 1e 27 
00 1b 20 1f 08 
00 1b 20 1f 09 
00 1b 20 1f 0e 
00 1b 20 1f 0f 
00 1b 20 1f 17 
00 1b 20 1f 20 
00 1b 20 26 10 
00 1b 20 26 11 
00 1b 20 26 19 
00 1b 20 26 1a 
00 1b 27 0b 11 
00 1b 27 0b 19 
00 1b 27 12 0f 
00 1b 27 12 10 
00 1b 27 12 11 
00 1b 27 12 1f 
00 1b 27 13 0f 
00 1b 27 13 19 
00 1b 27 1c 22 
00 1b 27 1c 23 
00 1b 27 1d 10 
00 1b 27 1d 11 
00 1b 27 1e 03 
00 1b 27 1e 11 
00 1b 27 1e 18 
00 1b 27 1e 19 
00 1b 27 1e 1a 
00 1b 27 1f 03 
00 1b 27 1f 09 
00 1b 27 1f 11 
00 1b 27 1f 18 
00 1b 27 1f 19 
00 1b 27 25 21 
00 1b 27 26 0f 
00 1b 27 26 10 
00 1b 27 26 11 
00 1b 27 26 1f 
00 24 02 04 10 
00 24 02 0b 10 
00 24 02 0d 
00 24 02 14 
00 24 02 1a 10 
00 24 02 1c 10 
00 24 02 20 10 
00 24 02 20 20 
00 24 02 26 10 
00 24 02 27 09 
00 24 02 27 10 
00 24 03 0c 0f 
00 24 03 0d 
00 24 03 13 08 
00 24 03 14 
00 24 03 15 08 
00 24 03 20 0f 
00 24 03 20 10 
00 24 03 20 17 
00 24 04 04 
00 24 04 0d 
00 24 04 15 
00 24 04 1d 
00 24 08 13 03 
00 24 08 1b 0b 
00 24 08 1d 17 
00 24 08 20 0a 
00 24 08 20 11 
00 24 08 27 19 
00 24 09 03 10 
00 24 09 0c 10 
00 24 09 0c 17 
00 24 09 1a 10 
00 24 09 1b 0c 
00 24 09 1b 10 
00 24 09 1c 0e 
00 24 09 1c 10 
00 24 09 20 0e 
00 24 09 20 10 
00 24 09 20 1f 
00 24 09 26 0e 
00 24 09 26 10 
00 24 09 27 10 
00 24 0e 0b 
00 24 0e 14 
00 24 0e 20 09 
00 24 0e 20 19 
00 24 0e 27 19 
00 24 0f 03 18 
00 24 0f 0b 18 
00 24 0f 0c 03 
00 24 0f 0c 10 
00 24 0f 15 18 
00 24 0f 1a 10 
00 24 0f 1a 1f 
00 24 0f 20 09 
00 24 0f 20 10 
00 24 0f 20 18 
00 24 0f 20 19 
00 24 0f 20 1f 
00 24 0f 20 20 
00 24 0f 27 19 
00 24 10 03 09 
00 24 10 03 18 
00 24 10 03 1e 
00 24 10 03 27 
00 24 10 13 09 
00 24 10 15 16 
00 24 10 1a 09 
00 24 10 1a 0f 
00 24 10 1a 12 
00 24 10 1a 16 
00 24 10 1a 18 
00 24 10 1a 27 
00 24 10 1b 09 
00 24 10 1b 16 
00 24 10 1b 1e 
00 24 10 1b 27 
00 24 10 1c 09 
00 24 10 1c 16 
00 24 10 20 03 
00 24 10 20 09 
00 24 10 20 0f 
00 24 10 20 12 
00 24 10 26 09 
00 24 10 26 12 
00 24 10 26 20 
00 24 10 26 27 
00 24 10 27 09 
00 24 10 27 16 
00 24 10 27 18 
00 24 10 27 20 
00 24 10 
00 24 11 14 17 
00 24 11 15 17 
00 24 11 1a 10 
00 24 11 1a 17 
00 24 11 1a 1f 
00 24 11 1b 0a 
00 24 11 1b 17 
00 24 11 1c 17 
00 24 11 26 27 
00 24 11 27 17 
00 24 17 13 18 
00 24 17 14 18 
00 24 17 1a 11 
00 24 17 1d 08 
00 24 17 20 12 
00 24 17 20 19 
00 24 17 20 1e 
00 24 17 20 1f 
00 24 17 26 18 
00 24 17 26 19 
00 24 17 27 19 
00 24 18 03 0f 
00 24 18 03 10 
00 24 18 03 26 
00 24 18 03 27 
00 24 18 0b 0f 
00 24 18 15 08 
00 24 18 15 0f 
00 24 18 1a 03 
00 24 18 1a 0f 
00 24 18 1a 10 
00 24 18 1a 11 
00 24 18 1a 12 
00 24 18 1a 26 
00 24 18 1b 17 
00 24 18 1d 03 
00 24 18 1d 17 
00 24 18 1d 26 
00 24 18 20 09 
00 24 18 20 0f 
00 24 18 20 1d 
00 24 18 20 1e 
00 24 18 20 27 
00 24 18 25 09 
00 24 18 25 10 
00 24 18 25 17 
00 24 18 25 1b 
00 24 18 25 1e 
00 24 18 26 17 
00 24 18 26 1e 
00 24 18 27 10 
00 24 1f 03 19 
00 24 1f 1a 0f 
00 24 1f 1a 11 
00 24 1f 20 02 
00 24 1f 20 04 
00 24 1f 20 09 
00 24 1f 20 0f 
00 24 1f 20 11 
00 24 1f 20 17 
00 24 1f 25 10 
00 24 1f 26 26 
00 24 1f 27 26 
00 24 27 03 10 
00 24 27 03 11 
00 24 27 03 18 
00 24 27 14 
00 24 27 1a 10 
00 24 27 1a 21 
00 24 27 1b 10 
00 24 27 1b 21 
00 24 27 1c 10 
00 24 27 1c 21 
00 24 27 20 03 
00 24 27 20 09 
00 24 27 20 11 
00 24 27 20 18 
00 24 27 20 19 
00 24 27 24 03 
00 24 27 24 18 
00 24 27 24 19 
00 24 27 24 22 
00 24 27 24 23 
00 24 27 26 10 
00 24 27 26 11 
00 24 27 27 19 
00 24 27 27 21 
00 25 02 04 08 
00 25 02 0b 20 
00 25 02 0c 09 
00 25 02 0c 10 
00 25 02 13 11 
00 25 02 15 08 
00 25 02 1c 08 
00 25 02 20 09 
00 25 02 20 10 
00 25 02 21 18 
00 25 02 21 1f 
00 25 02 22 10 
00 25 02 23 10 
00 25 02 24 0f 
00 25 02 24 1f 
00 25 02 24 27 
00 25 03 0b 
00 25 03 14 
00 25 03 15 08 
00 25 03 1d 10 
00 25 03 1d 1f 
00 25 03 21 10 
00 25 03 21 27 
00 25 03 24 08 
00 25 04 04 08 
00 25 04 04 0f 
00 25 04 0b 09 
00 25 04 0c 10 
00 25 04 13 20 
00 25 04 15 09 
00 25 04 15 18 
00 25 04 1a 09 
00 25 04 1b 0f 
00 25 04 1c 08 
00 25 04 1c 0f 
00 25 04 1c 1f 
00 25 04 21 09 
00 25 04 21 0f 
00 25 04 21 10 
00 25 04 22 10 
00 25 08 0b 11 
00 25 08 0b 20 
00 25 08 13 11 
00 25 08 13 19 
00 25 08 14 17 
00 25 08 1a 10 
00 25 08 1b 19 
00 25 08 1c 04 
00 25 08 1c 10 
00 25 08 1c 19 
00 25 08 1d 10 
00 25 08 20 10 
00 25 08 20 18 
00 25 08 21 0a 
00 25 08 21 11 
00 25 08 22 0a 
00 25 08 24 03 
00 25 08 24 10 
00 25 08 24 11 
00 25 09 0b 04 
00 25 09 0b 27 
00 25 09 0c 10 
00 25 09 0c 11 
00 25 09 0c 1f 
00 25 09 13 10 
00 25 09 13 16 
00 25 09 13 1f 
00 25 09 14 17 
00 25 09 15 11 
00 25 09 1a 04 
00 25 09 1a 0e 
00 25 09 1a 0f 
00 25 09 1a 10 
00 25 09 1a 11 
00 25 09 1a 16 
00 25 09 1a 1f 
00 25 09 1a 20 
00 25 09 1b 10 
00 25 09 1c 0c 
00 25 09 1c 0f 
00 25 09 1c 10 
00 25 09 1d 10 
00 25 09 20 02 
00 25 09 20 0c 
00 25 09 20 0e 
00 25 09 20 10 
00 25 09 20 17 
00 25 09 20 1f 
00 25 09 20 20 
00 25 09 21 08 
00 25 09 21 0e 
00 25 09 21 10 
00 25 09 21 16 
00 25 09 21 18 
00 25 09 21 1f 
00 25 09 21 20 
00 25 09 21 27 
00 25 09 22 0e 
00 25 09 22 10 
00 25 09 22 1f 
00 25 09 23 
00 25 09 24 0e 
00 25 09 24 0f 
00 25 09 24 10 
00 25 09 24 17 
00 25 09 24 27 
00 25 0e 13 20 
00 25 0e 1a 10 
00 25 0e 1c 10 
00 25 0e 20 08 
00 25 0e 20 10 
00 25 0e 20 19 
00 25 0e 21 09 
00 25 0e 21 19 
00 25 0f 03 10 
00 25 0f 0b 10 
00 25 0f 0c 02 
00 25 0f 0c 09 
00 25 0f 0c 10 
00 25 0f 15 19 
00 25 0f 1a 10 
00 25 0f 1a 1f 
00 25 0f 1b 04 
00 25 0f 1b 09 
00 25 0f 1b 10 
00 25 0f 1c 04 
00 25 0f 1c 10 
00 25 0f 1c 1f 
00 25 0f 20 08 
00 25 0f 20 0a 
00 25 0f 20 10 
00 25 0f 20 18 
00 25 0f 20 19 
00 25 0f 20 1f 
00 25 0f 21 09 
00 25 0f 21 10 
00 25 0f 21 18 
00 25 0f 21 19 
00 25 0f 21 1f 
00 25 0f 21 20 
00 25 0f 22 09 
00 25 0f 22 10 
00 25 0f 22 1f 
00 25 10 03 0f 
00 25 10 03 20 
00 25 10 0c 04 
00 25 10 0c 09 
00 25 10 0c 0f 
00 25 10 0c 12 
00 25 10 0c 27 
00 25 10 13 04 
00 25 10 13 09 
00 25 10 13 0f 
00 25 10 13 12 
00 25 10 13 27 
00 25 10 15 02 
00 25 10 15 03 
00 25 10 15 08 
00 25 10 15 09 
00 25 10 15 0f 
00 25 10 15 12 
00 25 10 1a 02 
00 25 10 1a 08 
00 25 10 1a 09 
00 25 10 1a 0a 
00 25 10 1a 0e 
00 25 10 1a 0f 
00 25 10 1a 12 
00 25 10 1a 15 
00 25 10 1a 16 
00 25 10 1b 02 
00 25 10 1b 09 
00 25 10 1b 0f 
00 25 10 1b 16 
00 25 10 1c 08 
00 25 10 1c 09 
00 25 10 1c 0a 
00 25 10 1c 0e 
00 25 10 1c 0f 
00 25 10 1c 11 
00 25 10 1c 20 
00 25 10 20 02 
00 25 10 20 03 
00 25 10 20 08 
00 25 10 20 09 
00 25 10 20 0e 
00 25 10 20 0f 
00 25 10 20 20 
00 25 10 21 03 
00 25 10 21 09 
00 25 10 21 0f 
00 25 10 21 12 
00 25 10 22 09 
00 25 10 22 0f 
00 25 10 22 12 
00 25 10 22 15 
00 25 10 22 1e 
00 25 10 23 09 
00 25 10 23 0f 
00 25 10 23 12 
00 25 10 24 02 
00 25 10 24 04 
00 25 10 24 08 
00 25 10 24 09 
00 25 10 24 0a 
00 25 10 24 0f 
00 25 10 24 12 
00 25 11 03 1f 
00 25 11 0b 17 
00 25 11 0b 18 
00 25 11 0b 1f 
00 25 11 0c 16 
00 25 11 13 02 
00 25 11 13 08 
00 25 11 14 08 
00 25 11 14 1f 
00 25 11 15 08 
00 25 11 15 09 
00 25 11 15 10 
00 25 11 15 1f 
00 25 11 1a 09 
00 25 11 1a 10 
00 25 11 1a 14 
00 25 11 1a 17 
00 25 11 1b 17 
00 25 11 21 08 
00 25 11 21 10 
00 25 11 21 1f 
00 25 11 21 27 
00 25 11 23 08 
00 25 11 23 1f 
00 25 11 24 08 
00 25 11 24 1f 
00 25 11 
00 25 17 0b 10 
00 25 17 0b 11 
00 25 17 0b 1f 
00 25 17 14 09 
00 25 17 15 16 
00 25 17 15 19 
00 25 17 15 1f 
00 25 17 15 27 
00 25 17 1a 10 
00 25 17 1a 12 
00 25 17 1a 20 
00 25 17 1b 10 
00 25 17 1b 16 
00 25 17 20 18 
00 25 17 20 19 
00 25 17 20 1f 
00 25 17 20 27 
00 25 17 21 02 
00 25 17 21 09 
00 25 17 21 16 
00 25 17 21 1f 
00 25 17 21 20 
00 25 17 24 09 
